,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,beginDate,endDate
0,1369,RS01SBPS,SF01A,,,,1521591180000,1529836802667,SF01A powered down on 3/21/2018 due to oil leak. (Redmine #13323). Instruments on profiler turned on 2018-06-24.,False,friedrich.knuth@rutgers.edu,not_operational,[],2018-03-21T00:13:00,2018-06-24T10:40:02
1,319,RS01SBPS,,,,,1516330801000,1516388401000,A brief violent storm caused loss of power to both the North and South cable lines and the deployed infrastructure during this time. For more information please contact help@oceanobservatories.org. (Redmine # 13109),False,friedrich.knuth@rutgers.edu,not_operational,[],2018-01-19T03:00:01,2018-01-19T19:00:01
2,2524,RS01SBPS,,,streamed,,1604275892000,1604360481000,On Oct 31st the Southern Line was powered down in order to attempt localization of the shunt fault and plan repairs. Primary Node 1A was returned to operation on Nov 22nd.,False,m.vardaro@gmail.com,not_operational,[],2020-11-02T00:11:32,2020-11-02T23:41:21
3,1248,RS01SBPS,,,,,1417981500000,1418688000000,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[],2014-12-07T19:45:00,2014-12-16T00:00:00
4,1250,RS01SBPS,,,,,1420615920000,1420617960000,Note: PNWGP Portland <-> Seattle outage. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2015-01-07T07:32:00,2015-01-07T08:06:00
5,1251,RS01SBPS,,,,,1422662400000,1423008000000,Note: Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,,[],2015-01-31T00:00:00,2015-02-04T00:00:00
6,1256,RS01SBPS,,,,,1426947000000,1426998000000,Note: PNWGP outage due to City of Seattle fiber cable work. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2015-03-21T14:10:00,2015-03-22T04:20:00
7,1259,RS01SBPS,,,,,1434153600000,1434385800000,Note: Network issues due to fire that damaged fibers between Portland and Seattle,False,knuth@marine.rutgers.edu,,[],2015-06-13T00:00:00,2015-06-15T16:30:00
8,1266,RS01SBPS,,,,,1452147000000,1452149520000,Note: Four 1-minute outages between Portland and Seattle due to maintenance. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2016-01-07T06:10:00,2016-01-07T06:52:00
9,1276,RS01SBPS,,,,,1468291980000,1468295460000,Note: Unexplained loss of power at Pittock Building in Portland. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2016-07-12T02:53:00,2016-07-12T03:51:00
10,1262,RS01SBPS,,,,,1440806400000,1440808200000,Note: Outage during major utility power failure in Seattle. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2015-08-29T00:00:00,2015-08-29T00:30:00
11,1268,RS01SBPS,,,,,1457651160000,1457688600000,Note: Fiber break between Portland and Seattle. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2016-03-10T23:06:00,2016-03-11T09:30:00
12,1274,RS01SBPS,,,,,1463761980000,1463767440000,Note: Fiber break between Portland and Pacific City. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2016-05-20T16:33:00,2016-05-20T18:04:00
13,1281,RS01SBPS,,,,,1481997600000,1482001200000,Note: Corvalis data center lost power. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2016-12-17T18:00:00,2016-12-17T19:00:00
14,1282,RS01SBPS,,,,,1482371400000,1482497040000,Note: Fiber break in Portland due to train crash. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2016-12-22T01:50:00,2016-12-23T12:44:00
15,1283,RS01SBPS,,,,,1483905480000,1483911660000,Note: Network outage during major Seattle utility power failure. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2017-01-08T19:58:00,2017-01-08T21:41:00
16,1286,RS01SBPS,,,,,1483986720000,1483997400000,Note: Lightning strike in Pacific City led to data interruption through isolation of both cable lines from shore station equipment. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2017-01-09T18:32:00,2017-01-09T21:30:00
17,1288,RS01SBPS,,,,,1486472400000,1486479600000,Note: Outage during PNWGP 1-hour router-maintenance. Possible data gap < 24h.,False,knuth@marine.rutgers.edu,,[],2017-02-07T13:00:00,2017-02-07T15:00:00
